laneid,s_offset,e_offset,lon,lat,e_spdlmt
2393882773560509700,0,42,116.495122,37.216984,120
2393882773560509701,0,41,116.495085,37.216967,120
2393882773560509953,0,44,116.494987,37.217375,120
2393882773560509954,0,44,116.494953,37.217350,120
2393882773560509955,0,44,116.494920,37.217327,120
2393882773560509956,0,44,116.494889,37.217303,120
2393882773560509957,0,44,116.494856,37.217280,120
2393882773560510209,0,76,116.494741,37.217713,120
2393882773560510210,0,77,116.494708,37.217689,120
2393882773560510211,0,77,116.494675,37.217665,120
2393882773560510212,0,78,116.494643,37.217641,120
2393882773560510213,0,79,116.494611,37.217618,120
2393882773560510465,0,17,116.494315,37.218298,120
2393882773560510466,0,17,116.494278,37.218281,120
2393882773560510467,0,16,116.494240,37.218263,120
2393882773560510468,0,15,116.494204,37.218246,120
2393882773560510469,0,14,116.494167,37.218229,120
2393882773560510721,0,2,116.494213,37.218426,120
2393882773560510722,0,2,116.494186,37.218406,120
2393882773560510723,0,2,116.494154,37.218382,120
2393882773560510724,0,2,116.494123,37.218358,120
2393882773560510725,0,2,116.494089,37.218335,120
2393882773560510977,0,2,116.494204,37.218437,120
2393882773560510978,0,2,116.494177,37.218418,120
2393882773560510979,0,2,116.494145,37.218394,120
2393882773560510980,0,2,116.494113,37.218371,120
2393882773560510981,0,2,116.494081,37.218347,120
2393882773560511233,0,70,116.494197,37.218446,120
2393882773560511234,0,71,116.494171,37.218427,120
2393882773560511235,0,71,116.494138,37.218403,120
2393882773560511236,0,72,116.494106,37.218380,120
2393882773560511237,0,73,116.494074,37.218356,120
2392342014172605953,0,45,121.848269,29.305081,100
2392342014172605954,0,45,121.848245,29.305052,100
2392342014172605955,0,44,121.848221,29.305024,100
2392342014172606209,0,52,121.847893,29.305318,100
2392342014172606210,0,53,121.847874,29.305287,100
2392342014172606211,0,53,121.847854,29.305256,100
2392342014172606465,0,69,121.847449,29.305580,100
2392342014172606466,0,68,121.847428,29.305552,100
2392342014172606467,0,68,121.847406,29.305522,100
2392342014172597761,0,205,121.846835,29.305876,100
2392342014172597762,0,204,121.846814,29.305844,100
2392342014172598017,0,150,121.844953,29.306698,100
2392342014172598018,0,149,121.844941,29.306665,100
2392342014172598273,0,109,121.843510,29.307155,100
2392342014172598274,0,108,121.843501,29.307121,100
2392342014172594433,0,137,121.842435,29.307407,100
2392342014172594434,0,137,121.842433,29.307372,100
2392342014172594689,0,261,121.841057,29.307628,100
2392342014172594690,0,261,121.841053,29.307594,100
2392342009877637377,0,86,121.838378,29.307744,100
2392342009877637378,0,86,121.838379,29.307710,100
2392342009877637633,0,88,121.837502,29.307720,100
2392342009877637634,0,88,121.837503,29.307686,100
2392342009877637889,0,95,121.836599,29.307700,100
2392342009877637890,0,95,121.836599,29.307700,100
2392342009877637891,0,96,121.836600,29.307663,100
2392342009877638145,0,3,121.835623,29.307739,100
2392342009877638146,0,3,121.835622,29.307705,100
2392342009877638147,0,3,121.835620,29.307671,100
2392342009877638401,0,8,121.835600,29.307740,100
2392342009877638402,0,8,121.835599,29.307706,100
2392342009877638403,0,8,121.835597,29.307672,100
2392342009877638657,0,412,121.835525,29.307743,100
2392342009877638658,0,414,121.835524,29.307709,100
2392342009877638659,0,415,121.835523,29.307675,100
2392342009877636353,0,26,121.831390,29.308495,100
2392342009877636354,0,27,121.831374,29.308457,100
2392342009877636355,0,27,121.831374,29.308457,100
2392342009877636356,0,27,121.831358,29.308420,100
2392342009877636609,0,25,121.831142,29.308582,100
2392342009877636610,0,25,121.831130,29.308555,100
2392342009877636611,0,25,121.831120,29.308531,100
2392342009877636612,0,24,121.831108,29.308503,100
2392342009877636865,0,34,121.830909,29.308670,100
2392342009877636866,0,34,121.830900,29.308643,100
2392342009877636867,0,34,121.830890,29.308615,100
2392342009877636868,0,34,121.830878,29.308582,100
2392342009877637121,0,31,121.830599,29.308794,100
2392342009877637122,0,31,121.830587,29.308762,100
2392342009877637123,0,32,121.830575,29.308731,100
2392342009877637124,0,32,121.830563,29.308699,100
2392342009877643521,0,11,121.830315,29.308910,100
2392342009877643522,0,10,121.830298,29.308877,100
2392342009877643523,0,10,121.830282,29.308846,100
2392342009877643524,0,10,121.830266,29.308815,100
2392342009877643777,0,36,121.830220,29.308950,100
2392342009877643778,0,36,121.830207,29.308915,100
2392342009877643779,0,37,121.830193,29.308883,100
2392342009877643780,0,37,121.830179,29.308851,100
